{'NM_000014': ['version 5', 4425]}
{'NM_000287': ['version 4', 2943]}
{'NM_000292': ['version 2', 3708]}
{'NM_000301': ['version 3', 2433]}
{'NM_000302': ['version 4', 2184]}
{'NM_000322': ['version 5', 1041]}
{'NM_000329': ['version 3', 1602]}
{'NM_000333': ['version 3', 2679]}
{'NM_000334': ['version 4', 5511]}
{'NM_000342': ['version 4', 2736]}
{'NM_000350': ['version 3', 6822]}
{'NM_000351': ['version 5', 1752]}
{'NM_000352': ['version 4', 4746]}
{'NM_000359': ['version 3', 2454]}
{'NM_000360': ['version 3', 1494]}
{'NM_000379': ['version 4', 4002]}
{'NM_000383': ['version 4', 1638]}
{'NM_000390': ['version 4', 1962]}
{'NM_000392': ['version 5', 4638]}
{'NM_000393': ['version 5', 4500]}
{'NM_000412': ['version 4', 1578]}
{'NM_000413': ['version 3', 987]}
{'NM_000427': ['version 3', 939]}
{'NM_000428': ['version 3', 5466]}
{'NM_000430': ['version 4', 1233]}
{'NM_000435': ['version 3', 6966]}
{'NM_000437': ['version 4', 1179]}
{'NM_000441': ['version 1', 2343]}
{'NM_000442': ['version 5', 2217]}
{'NM_000444': ['version 6', 2250]}
{'NM_000445': ['version 4', 13725]}
{'NM_000446': ['version 6', 1068]}
{'NM_000456': ['version 2', 1638]}
{'NM_000458': ['version 4', 1674]}
{'NM_000479': ['version 4', 1683]}
{'NM_000481': ['version 3', 1212]}
{'NM_000489': ['version 5', 7479]}
{'NM_000492': ['version 3', 4443]}
{'NM_000496': ['version 3', 618]}
{'NM_000502': ['version 6', 2148]}
{'NM_000511.5': ['version 5', 1032]}
{'NM_000513': ['version 2', 1095]}
{'NM_000515': ['version 5', 654]}
{'NM_000522': ['version 5', 1167]}
{'NM_000524': ['version 3', 1269]}
{'NM_000526': ['version 5', 1419]}
{'NM_000527.4': ['version 4', 2583]}
{'NM_000538': ['version 3', 819]}
{'NM_000545': ['version 6', 1896]}
{'NM_000548': ['version 5', 5424]}
{'NM_000550': ['version 2', 1614]}
{'NM_000560': ['version 4', 660]}
{'NM_000573': ['version 3', 6120]}
{'NM_000596': ['version 4', 780]}
{'NM_000597': ['version 3', 978]}
{'NM_000672': ['version 3', 1107]}
{'NM_000678': ['version 3', 1719]}
{'NM_000681': ['version 3', 1398]}
{'NM_000683': ['version 3', 1389]}
{'NM_000686': ['version 5', 1092]}
{'NM_000696.3': ['version 3', 1557]}
{'NM_000701': ['version 8', 3072]}
{'NM_000704': ['version 2', 3108]}
{'NM_000707': ['version 5', 1275]}
{'NM_000709': ['version 4', 1338]}
{'NM_000718': ['version 4', 7020]}
{'NM_000719': ['version 6', 6417]}
{'NM_000720': ['version 3', 6546]}
{'NM_000721': ['version 3', 6813]}
{'NM_000724': ['version 3', 1818]}
{'NM_000726.3': ['version 3', 1563]}
{'NM_000741': ['version 4', 1440]}
{'NM_000748': ['version 2', 1509]}
{'NM_000761': ['version 5', 1551]}
{'NM_000769': ['version 4', 1473]}
{'NM_000770': ['version 3', 1473]}
{'NM_000780': ['version 4', 1515]}
{'NM_000789': ['version 4', 3921]}
{'NM_000794': ['version 5', 1341]}
{'NM_000797': ['version 3', 1260]}
{'NM_000803': ['version 5', 768]}
{'NM_000804': ['version 4', 738]}
{'NM_000806.5': ['version 5', 1371]}
{'NM_000820': ['version 4', 2037]}
{'NM_000823.3': ['version 3', 1272]}
{'NM_000824': ['version 5', 1494]}
{'NM_000831': ['version 4', 2760]}
{'NM_000842': ['version 4', 3543]}
{'NM_000844': ['version 4', 2748]}
{'NM_000866': ['version 4', 1101]}
{'NM_000868': ['version 3', 1377]}
{'NM_000870': ['version 6', 1167]}
{'NM_000871': ['version 3', 1323]}
{'NM_000872': ['version 4', 1338]}
{'NM_000876': ['version 3', 7476]}
{'NM_000883': ['version 4', 1800]}
{'NM_000896': ['version 3', 1563]}
{'NM_000897': ['version 2', 162]}
{'NM_000910': ['version 4', 1146]}
{'NM_000911': ['version 4', 1119]}
{'NM_000914': ['version 4', 1203]}
{'NM_000915': ['version 4', 378]}
{'NM_000922': ['version 4', 3339]}
{'NM_000934': ['version 3', 1476]}
{'NM_000938': ['version 3', 3525]}
{'NM_000953': ['version 2', 1080]}
{'NM_000959': ['version 4', 1080]}
{'NM_000966': ['version 6', 1365]}
{'NM_000971': ['version 4', 747]}
{'NM_000982': ['version 3', 483]}
{'NM_000992': ['version 2', 480]}
{'NM_001000000': ['version 1', 936]}
{'NM_001000001': ['version 1', 936]}
{'NM_001000002': ['version 1', 936]}
{'NM_001000003': ['version 1', 936]}
{'NM_001000004': ['version 1', 942]}
{'NM_001000005': ['version 1', 924]}
{'NM_001000006': ['version 1', 963]}
{'NM_001000007': ['version 1', 945]}
{'NM_001000008': ['version 1', 945]}
{'NM_001000009': ['version 1', 930]}
{'NM_001000010': ['version 1', 948]}
{'NM_001000011': ['version 1', 948]}
{'NM_001000012': ['version 1', 972]}
{'NM_001000013': ['version 1', 921]}
{'NM_001000014': ['version 1', 921]}
{'NM_001000015': ['version 1', 921]}
{'NM_001000016': ['version 1', 921]}
{'NM_001000017': ['version 1', 921]}
{'NM_001000018': ['version 1', 921]}
{'NM_001000019': ['version 1', 921]}
{'NM_001000020': ['version 1', 993]}
{'NM_001000021': ['version 1', 927]}
{'NM_001000022': ['version 1', 927]}
{'NM_001000023': ['version 1', 960]}
{'NM_001000024': ['version 1', 945]}
{'NM_001000025': ['version 1', 954]}
{'NM_001000026': ['version 1', 945]}
{'NM_001000027': ['version 1', 939]}
{'NM_001000028': ['version 1', 939]}
{'NM_001000029': ['version 1', 939]}
{'NM_001000030': ['version 1', 939]}
{'NM_001000031': ['version 1', 936]}
{'NM_001000032': ['version 1', 936]}
{'NM_001000033': ['version 1', 945]}
{'NM_001000034': ['version 1', 948]}
{'NM_001000035': ['version 1', 939]}
{'NM_001000036': ['version 1', 945]}
{'NM_001000037': ['version 1', 936]}
{'NM_001000038': ['version 1', 972]}
{'NM_001000039': ['version 1', 936]}
{'NM_001000040': ['version 1', 936]}
{'NM_001000041': ['version 1', 942]}
{'NM_001000042': ['version 1', 939]}
{'NM_001000043': ['version 1', 939]}
{'NM_001000044': ['version 1', 942]}
{'NM_001000045': ['version 1', 927]}
{'NM_001000046': ['version 1', 930]}
{'NM_001000047': ['version 1', 930]}
{'NM_001000048': ['version 1', 930]}
{'NM_001000049': ['version 1', 954]}
{'NM_001000050': ['version 1', 930]}
{'NM_001000051': ['version 1', 930]}
{'NM_001000052': ['version 1', 924]}
{'NM_001000054': ['version 1', 939]}
{'NM_001000055': ['version 1', 939]}
{'NM_001000056': ['version 1', 936]}
{'NM_001000057': ['version 1', 945]}
{'NM_001000058': ['version 1', 960]}
{'NM_001000059': ['version 1', 951]}
{'NM_001000060': ['version 1', 939]}
{'NM_001000061': ['version 1', 963]}
{'NM_001000062': ['version 1', 969]}
{'NM_001000063': ['version 1', 942]}
{'NM_001000064': ['version 1', 939]}
{'NM_001000065': ['version 1', 963]}
{'NM_001000066': ['version 1', 939]}
{'NM_001000067': ['version 1', 945]}
{'NM_001000068': ['version 1', 924]}
{'NM_001000069': ['version 1', 960]}
{'NM_001000070': ['version 1', 924]}
{'NM_001000071': ['version 1', 939]}
{'NM_001000072': ['version 1', 939]}
{'NM_001000073': ['version 1', 945]}
{'NM_001000074': ['version 1', 939]}
{'NM_001000075': ['version 1', 951]}
{'NM_001000076': ['version 1', 945]}
{'NM_001000077': ['version 1', 936]}
{'NM_001000078': ['version 1', 933]}
{'NM_001000079': ['version 1', 942]}
{'NM_001000080': ['version 1', 942]}
{'NM_001000081': ['version 1', 945]}
{'NM_001000082': ['version 1', 954]}
{'NM_001000083': ['version 1', 939]}
{'NM_001000084': ['version 1', 924]}
{'NM_001000085': ['version 1', 948]}
{'NM_001000086': ['version 1', 930]}
{'NM_001000087': ['version 1', 954]}
{'NM_001000088': ['version 1', 969]}
{'NM_001000089': ['version 1', 927]}
{'NM_001000090': ['version 1', 972]}
{'NM_001000091': ['version 1', 975]}
{'NM_001000092': ['version 1', 972]}
{'NM_001000093': ['version 1', 954]}
{'NM_001000094': ['version 1', 927]}
{'NM_001000096': ['version 1', 942]}
{'NM_001000097': ['version 1', 975]}
{'NM_001000099': ['version 1', 942]}
{'NM_001000100': ['version 1', 957]}
{'NM_001000101': ['version 1', 933]}
{'NM_001000102': ['version 1', 1005]}
{'NM_001000103': ['version 1', 945]}
{'NM_001000104': ['version 1', 948]}
{'NM_001000105': ['version 1', 921]}
{'NM_001000106': ['version 1', 939]}
{'NM_001000107': ['version 2', 954]}
{'NM_001000108': ['version 1', 939]}
{'NM_001000109': ['version 1', 939]}
{'NM_001000110': ['version 1', 954]}
{'NM_001000111': ['version 1', 939]}
{'NM_001000112': ['version 1', 939]}
{'NM_001000113': ['version 1', 945]}
{'NM_001000114': ['version 1', 948]}
{'NM_001000115': ['version 1', 948]}
{'NM_001000116': ['version 1', 927]}
{'NM_001000117': ['version 1', 960]}
{'NM_001000118': ['version 1', 993]}
{'NM_001000119': ['version 1', 996]}
{'NM_001000120': ['version 1', 930]}
{'NM_001000121': ['version 1', 951]}
{'NM_001000122': ['version 1', 954]}
{'NM_001000123': ['version 1', 960]}
{'NM_001000124': ['version 1', 954]}
{'NM_001000125': ['version 1', 948]}
{'NM_001000126': ['version 1', 942]}
{'NM_001000127': ['version 1', 951]}
{'NM_001000128': ['version 1', 990]}
{'NM_001000129': ['version 1', 963]}
{'NM_001000130': ['version 1', 951]}
{'NM_001000131': ['version 1', 975]}
{'NM_001000132': ['version 1', 927]}
{'NM_001000133': ['version 1', 969]}
{'NM_001000134': ['version 1', 945]}
{'NM_001000135': ['version 1', 948]}
{'NM_001000136': ['version 1', 939]}
{'NM_001000137': ['version 1', 984]}
{'NM_001000138': ['version 1', 936]}
{'NM_001000139': ['version 1', 948]}
{'NM_001000140': ['version 1', 945]}
{'NM_001000141': ['version 1', 945]}
{'NM_001000143': ['version 1', 948]}
{'NM_001000144': ['version 1', 951]}
{'NM_001000145': ['version 1', 960]}
{'NM_001000146': ['version 1', 948]}
{'NM_001000147': ['version 1', 972]}
{'NM_001000148': ['version 1', 954]}
{'NM_001000149': ['version 1', 942]}
{'NM_001000150': ['version 1', 963]}
{'NM_001000151': ['version 1', 942]}
{'NM_001000152': ['version 1', 954]}
{'NM_001000153': ['version 1', 954]}
{'NM_001000154': ['version 1', 945]}
{'NM_001000155': ['version 1', 954]}
{'NM_001000156': ['version 1', 951]}
{'NM_001000157': ['version 1', 948]}
{'NM_001000158': ['version 1', 951]}
{'NM_001000159': ['version 1', 963]}
{'NM_001000160': ['version 1', 954]}
{'NM_001000161': ['version 1', 948]}
{'NM_001000162': ['version 1', 948]}
{'NM_001000163': ['version 1', 939]}
{'NM_001000164': ['version 1', 945]}
{'NM_001000165': ['version 1', 972]}
{'NM_001000166': ['version 1', 951]}
{'NM_001000167': ['version 1', 975]}
{'NM_001000168': ['version 1', 972]}
{'NM_001000169': ['version 1', 990]}
{'NM_001000170': ['version 1', 966]}
{'NM_001000171': ['version 1', 966]}
{'NM_001000172': ['version 1', 969]}
{'NM_001000173': ['version 1', 960]}
{'NM_001000174': ['version 1', 960]}
{'NM_001000175': ['version 1', 966]}
{'NM_001000176': ['version 1', 951]}
{'NM_001000177': ['version 1', 957]}
{'NM_001000178': ['version 1', 957]}
{'NM_001000179': ['version 1', 939]}
{'NM_001000180': ['version 1', 951]}
{'NM_001000181': ['version 1', 942]}
{'NM_001000182': ['version 1', 954]}
{'NM_001000183': ['version 1', 954]}
{'NM_001000184': ['version 1', 942]}
{'NM_001000185': ['version 1', 948]}
{'NM_001000186': ['version 2', 942]}
{'NM_001000187': ['version 1', 951]}
{'NM_001000188': ['version 1', 954]}
{'NM_001000189': ['version 1', 966]}
{'NM_001000190': ['version 1', 945]}
{'NM_001000191': ['version 1', 948]}
{'NM_001000192': ['version 1', 948]}
{'NM_001000193': ['version 1', 948]}
{'NM_001000194': ['version 1', 951]}
{'NM_001000195': ['version 1', 951]}
{'NM_001000196': ['version 1', 927]}
{'NM_001000197': ['version 1', 951]}
{'NM_001000198': ['version 1', 948]}
{'NM_001000199': ['version 1', 951]}
{'NM_001000200': ['version 1', 924]}
{'NM_001000201': ['version 1', 933]}
{'NM_001000202': ['version 1', 951]}
{'NM_001000203': ['version 1', 954]}
{'NM_001000204': ['version 1', 945]}
{'NM_001000205': ['version 1', 954]}
{'NM_001000206': ['version 1', 948]}
{'NM_001000207': ['version 1', 948]}
{'NM_001000208': ['version 1', 945]}
{'NM_001000209': ['version 1', 939]}
{'NM_001000210': ['version 1', 945]}
{'NM_001000211': ['version 1', 939]}
{'NM_001000213': ['version 1', 933]}
{'NM_001000214': ['version 1', 945]}
{'NM_001000215': ['version 1', 984]}
{'NM_001000216': ['version 1', 939]}
{'NM_001000217': ['version 1', 945]}
{'NM_001000218': ['version 1', 945]}
{'NM_001000219': ['version 1', 972]}
{'NM_001000220': ['version 1', 945]}
{'NM_001000221': ['version 1', 957]}
{'NM_001000222': ['version 1', 942]}
{'NM_001000223': ['version 1', 936]}
{'NM_001000224': ['version 1', 981]}
{'NM_001000225': ['version 1', 945]}
{'NM_001000226': ['version 1', 945]}
{'NM_001000227': ['version 1', 945]}
{'NM_001000228': ['version 1', 945]}
{'NM_001000229': ['version 1', 945]}
{'NM_001000230': ['version 1', 945]}
{'NM_001000231': ['version 1', 957]}
{'NM_001000232': ['version 1', 918]}
{'NM_001000233': ['version 1', 933]}
{'NM_001000234': ['version 1', 924]}
{'NM_001000235': ['version 1', 912]}
{'NM_001000236': ['version 1', 930]}
{'NM_001000237': ['version 1', 924]}
{'NM_001000238': ['version 1', 933]}
{'NM_001000239': ['version 1', 924]}
{'NM_001000240': ['version 1', 933]}
{'NM_001000241': ['version 1', 933]}
{'NM_001000242': ['version 1', 933]}
{'NM_001000243': ['version 1', 933]}
{'NM_001000244': ['version 1', 933]}
{'NM_001000245': ['version 1', 936]}
{'NM_001000246': ['version 1', 936]}
{'NM_001000247': ['version 1', 945]}
{'NM_001000248': ['version 1', 954]}
{'NM_001000249': ['version 1', 966]}
{'NM_001000250': ['version 1', 960]}
{'NM_001000251': ['version 1', 942]}
{'NM_001000252': ['version 1', 939]}
{'NM_001000253': ['version 1', 945]}
{'NM_001000254': ['version 1', 945]}
{'NM_001000255': ['version 1', 927]}
{'NM_001000256': ['version 1', 924]}
{'NM_001000257': ['version 1', 948]}
{'NM_001000258': ['version 1', 942]}
{'NM_001000259': ['version 1', 960]}
{'NM_001000260': ['version 1', 948]}
{'NM_001000261': ['version 1', 936]}
{'NM_001000262': ['version 1', 948]}
{'NM_001000263': ['version 1', 951]}
{'NM_001000264': ['version 1', 939]}
{'NM_001000266': ['version 1', 939]}
{'NM_001000267': ['version 1', 939]}
{'NM_001000268': ['version 1', 939]}
{'NM_001000269': ['version 1', 939]}
{'NM_001000270': ['version 1', 942]}
{'NM_001000271': ['version 1', 939]}
{'NM_001000272': ['version 1', 966]}
{'NM_001000273': ['version 1', 972]}
{'NM_001000274': ['version 1', 972]}
{'NM_001000275': ['version 1', 1005]}
{'NM_001000276': ['version 1', 915]}
{'NM_001000277': ['version 1', 930]}
{'NM_001000279': ['version 1', 954]}
{'NM_001000281': ['version 1', 930]}
{'NM_001000282': ['version 1', 948]}
{'NM_001000283': ['version 1', 945]}
{'NM_001000284': ['version 1', 948]}
{'NM_001000285': ['version 1', 945]}
{'NM_001000286': ['version 1', 945]}
{'NM_001000287': ['version 1', 957]}
{'NM_001000288': ['version 1', 939]}
{'NM_001000289': ['version 1', 945]}
{'NM_001000290': ['version 1', 936]}
{'NM_001000291': ['version 1', 936]}
{'NM_001000292': ['version 1', 939]}
{'NM_001000293': ['version 1', 930]}
{'NM_001000294': ['version 1', 936]}
{'NM_001000295': ['version 1', 933]}
{'NM_001000296': ['version 1', 954]}
{'NM_001000297': ['version 1', 948]}
{'NM_001000298': ['version 1', 936]}
{'NM_001000299': ['version 1', 924]}
{'NM_001000300': ['version 1', 975]}
{'NM_001000301': ['version 1', 984]}
{'NM_001000302': ['version 1', 933]}
{'NM_001000303': ['version 1', 966]}
{'NM_001000304': ['version 1', 960]}
{'NM_001000305': ['version 1', 942]}
{'NM_001000306': ['version 1', 948]}
{'NM_001000307': ['version 1', 951]}
{'NM_001000308': ['version 1', 927]}
{'NM_001000309': ['version 1', 942]}
{'NM_001000310': ['version 1', 948]}
{'NM_001000311': ['version 1', 942]}
{'NM_001000312': ['version 1', 933]}
{'NM_001000313': ['version 1', 936]}
{'NM_001000314': ['version 1', 942]}
{'NM_001000315': ['version 1', 966]}
{'NM_001000316': ['version 1', 936]}
{'NM_001000317': ['version 1', 993]}
{'NM_001000318': ['version 1', 969]}
{'NM_001000319': ['version 1', 942]}
{'NM_001000320': ['version 1', 939]}
{'NM_001000321': ['version 1', 939]}
{'NM_001000322': ['version 1', 939]}
{'NM_001000323': ['version 1', 951]}
{'NM_001000324': ['version 1', 921]}
{'NM_001000325': ['version 1', 981]}
{'NM_001000326': ['version 1', 927]}
{'NM_001000327': ['version 1', 930]}
{'NM_001000328': ['version 1', 927]}
{'NM_001000329': ['version 1', 945]}
{'NM_001000330': ['version 1', 936]}
{'NM_001000331': ['version 1', 933]}
{'NM_001000332': ['version 1', 933]}
{'NM_001000333': ['version 1', 939]}
{'NM_001000334': ['version 1', 951]}
{'NM_001000335': ['version 1', 951]}
{'NM_001000336': ['version 1', 951]}
{'NM_001000337': ['version 1', 951]}
{'NM_001000338': ['version 1', 972]}
{'NM_001000339': ['version 1', 921]}
{'NM_001000340': ['version 1', 942]}
{'NM_001000341': ['version 1', 927]}
{'NM_001000342': ['version 1', 930]}
{'NM_001000343': ['version 1', 933]}
{'NM_001000344': ['version 1', 930]}
{'NM_001000345': ['version 1', 930]}
{'NM_001000346': ['version 1', 936]}
{'NM_001000347': ['version 1', 936]}
{'NM_001000348': ['version 1', 936]}
{'NM_001000349': ['version 1', 936]}
{'NM_001000350': ['version 1', 915]}
{'NM_001000351': ['version 1', 936]}
{'NM_001000352': ['version 1', 936]}
{'NM_001000353': ['version 1', 936]}
{'NM_001000354': ['version 1', 936]}
{'NM_001000355': ['version 1', 936]}
{'NM_001000356': ['version 1', 933]}
{'NM_001000357': ['version 1', 927]}
{'NM_001000359': ['version 1', 948]}
{'NM_001000360': ['version 1', 945]}
{'NM_001000361': ['version 1', 945]}
{'NM_001000362': ['version 1', 912]}
{'NM_001000363': ['version 1', 930]}
{'NM_001000364': ['version 1', 909]}
{'NM_001000365': ['version 1', 939]}
{'NM_001000366': ['version 1', 912]}
{'NM_001000367': ['version 1', 933]}
{'NM_001000368': ['version 1', 918]}
{'NM_001000369': ['version 1', 939]}
{'NM_001000371': ['version 1', 939]}
{'NM_001000372': ['version 1', 939]}
{'NM_001000373': ['version 1', 939]}
{'NM_001000374': ['version 1', 939]}
{'NM_001000375': ['version 1', 963]}
{'NM_001000376': ['version 1', 939]}
{'NM_001000377': ['version 1', 939]}
{'NM_001000378': ['version 1', 951]}
{'NM_001000379': ['version 1', 930]}
{'NM_001000380': ['version 1', 930]}
{'NM_001000381': ['version 1', 924]}
{'NM_001000382': ['version 1', 939]}
{'NM_001000383': ['version 1', 936]}
{'NM_001000384': ['version 1', 939]}
{'NM_001000385': ['version 1', 942]}
{'NM_001000386': ['version 1', 948]}
{'NM_001000387': ['version 1', 936]}
{'NM_001000388': ['version 1', 954]}
{'NM_001000389': ['version 1', 927]}
{'NM_001000390': ['version 1', 954]}
{'NM_001000391': ['version 1', 987]}
{'NM_001000392': ['version 1', 993]}
{'NM_001000393': ['version 1', 954]}
{'NM_001000394': ['version 1', 936]}
{'NM_001000395': ['version 1', 930]}
{'NM_001000397': ['version 1', 984]}
{'NM_001000398': ['version 1', 939]}
{'NM_001000399': ['version 1', 951]}
{'NM_001000400': ['version 1', 960]}
{'NM_001000401': ['version 1', 951]}
{'NM_001000402': ['version 1', 954]}
{'NM_001000403': ['version 1', 954]}
{'NM_001000404': ['version 1', 954]}
{'NM_001000405': ['version 1', 960]}
{'NM_001000406': ['version 1', 960]}
{'NM_001000407': ['version 1', 939]}
{'NM_001000408': ['version 1', 951]}
{'NM_001000409': ['version 1', 948]}
{'NM_001000410': ['version 1', 948]}
{'NM_001000411': ['version 1', 948]}
{'NM_001000412': ['version 1', 948]}
{'NM_001000413': ['version 1', 948]}
{'NM_001000414': ['version 1', 960]}
{'NM_001000415': ['version 1', 957]}
{'NM_001000416': ['version 1', 957]}
{'NM_001000418': ['version 1', 942]}
{'NM_001000419': ['version 1', 963]}
{'NM_001000420': ['version 1', 933]}
{'NM_001000421': ['version 1', 960]}
{'NM_001000423': ['version 1', 930]}
{'NM_001000424': ['version 1', 927]}
{'NM_001000425': ['version 1', 933]}
{'NM_001000426': ['version 1', 939]}
{'NM_001000427': ['version 1', 975]}
{'NM_001000428': ['version 1', 939]}
{'NM_001000429': ['version 1', 918]}
{'NM_001000431': ['version 1', 939]}
{'NM_001000432': ['version 1', 918]}
{'NM_001000433': ['version 1', 939]}
{'NM_001000434': ['version 1', 957]}
{'NM_001000435': ['version 1', 933]}
{'NM_001000436': ['version 1', 930]}
{'NM_001000437': ['version 1', 945]}
{'NM_001000438': ['version 1', 933]}
{'NM_001000439': ['version 1', 933]}
{'NM_001000440': ['version 1', 939]}
{'NM_001000441': ['version 1', 942]}
{'NM_001000442': ['version 1', 942]}
{'NM_001000443': ['version 1', 933]}
{'NM_001000444': ['version 1', 942]}
{'NM_001000445': ['version 1', 933]}
{'NM_001000446': ['version 1', 942]}
{'NM_001000447': ['version 1', 942]}
{'NM_001000448': ['version 1', 933]}
{'NM_001000449': ['version 1', 933]}
{'NM_001000450': ['version 1', 936]}
{'NM_001000451': ['version 1', 933]}
{'NM_001000452': ['version 1', 933]}
{'NM_001000453': ['version 1', 930]}
{'NM_001000454': ['version 1', 933]}
{'NM_001000455': ['version 1', 948]}
{'NM_001000456': ['version 1', 936]}
{'NM_001000457': ['version 1', 954]}
{'NM_001000458': ['version 1', 936]}
{'NM_001000459': ['version 1', 945]}
{'NM_001000460': ['version 1', 945]}
{'NM_001000461': ['version 1', 945]}
{'NM_001000462': ['version 1', 945]}
{'NM_001000463': ['version 1', 945]}
{'NM_001000464': ['version 1', 936]}
{'NM_001000465': ['version 1', 939]}
{'NM_001000466': ['version 1', 945]}
{'NM_001000467': ['version 1', 945]}
{'NM_001000468': ['version 1', 918]}
{'NM_001000469': ['version 1', 936]}
{'NM_001000470': ['version 1', 939]}
{'NM_001000471': ['version 1', 939]}
{'NM_001000472': ['version 1', 936]}
{'NM_001000473': ['version 1', 924]}
{'NM_001000474': ['version 1', 939]}
{'NM_001000475': ['version 1', 936]}
{'NM_001000476': ['version 1', 930]}
{'NM_001000477': ['version 1', 939]}
{'NM_001000478': ['version 1', 936]}
{'NM_001000479': ['version 1', 933]}
{'NM_001000480': ['version 1', 954]}
{'NM_001000481': ['version 1', 945]}
{'NM_001000482': ['version 1', 939]}
{'NM_001000483': ['version 1', 936]}
{'NM_001000484': ['version 1', 960]}
{'NM_001000485': ['version 1', 951]}
{'NM_001000486': ['version 1', 942]}
{'NM_001000487': ['version 1', 945]}
{'NM_001000488': ['version 1', 933]}
{'NM_001000489': ['version 1', 939]}
{'NM_001000490': ['version 1', 933]}
{'NM_001000491': ['version 1', 924]}
{'NM_001000492': ['version 1', 939]}
{'NM_001000493': ['version 1', 939]}
{'NM_001000494': ['version 1', 942]}
{'NM_001000495': ['version 1', 939]}
{'NM_001000496': ['version 1', 921]}
{'NM_001000497': ['version 1', 930]}
{'NM_001000498': ['version 1', 939]}
{'NM_001000499': ['version 1', 930]}
{'NM_001000500': ['version 1', 948]}
{'NM_001000501': ['version 1', 966]}
{'NM_001000502': ['version 1', 954]}
{'NM_001000503': ['version 1', 996]}
{'NM_001000504': ['version 1', 966]}
{'NM_001000505': ['version 1', 957]}
{'NM_001000506': ['version 1', 930]}
{'NM_001000507': ['version 1', 957]}
{'NM_001000508': ['version 1', 966]}
{'NM_001000509': ['version 1', 939]}
{'NM_001000510': ['version 1', 930]}
{'NM_001000511': ['version 1', 972]}
{'NM_001000512': ['version 1', 954]}
{'NM_001000513': ['version 1', 948]}
{'NM_001000514': ['version 1', 933]}
{'NM_001000515': ['version 1', 939]}
{'NM_001000516': ['version 1', 942]}
{'NM_001000517': ['version 1', 960]}
{'NM_001000518': ['version 1', 1053]}
{'NM_001000519': ['version 1', 936]}
{'NM_001000520': ['version 1', 972]}
{'NM_001000521': ['version 1', 936]}
{'NM_001000522': ['version 1', 945]}
{'NM_001000523': ['version 1', 942]}
{'NM_001000524': ['version 1', 936]}
{'NM_001000525': ['version 1', 984]}
{'NM_001000526': ['version 1', 927]}
{'NM_001000527': ['version 1', 945]}
{'NM_001000528': ['version 1', 936]}
{'NM_001000529': ['version 1', 963]}
{'NM_001000530': ['version 1', 924]}
{'NM_001000531': ['version 1', 927]}
{'NM_001000532': ['version 1', 939]}
{'NM_001000533': ['version 1', 933]}
{'NM_001000534': ['version 1', 948]}
{'NM_001000535': ['version 1', 927]}
{'NM_001000536': ['version 1', 939]}
{'NM_001000537': ['version 1', 945]}
{'NM_001000538': ['version 1', 975]}
{'NM_001000539': ['version 1', 939]}
{'NM_001000540': ['version 1', 924]}
{'NM_001000541': ['version 1', 951]}
{'NM_001000542': ['version 1', 954]}
{'NM_001000543': ['version 1', 939]}
{'NM_001000544': ['version 1', 945]}
{'NM_001000545': ['version 1', 945]}
{'NM_001000546': ['version 1', 942]}
{'NM_001000547': ['version 1', 954]}
{'NM_001000548': ['version 1', 960]}
